Sample,Input_Pairs,Both_Surviving,Forward_Only,Reverse_Only,Dropped
JCV23-0101,31773254,29326932,2230442,88908,126972
JCV23-0102,36485938,34163732,2133170,83887,105149
JCV23-0201,32697196,31007931,1508918,104751,75596
JCV23-0202,33684743,31596155,1914412,87691,86485
JCV23-0301,32871179,30831693,1847803,92105,99578
JCV23-0302,36643793,34760975,1697357,98848,86613
JCV23-0401,30131960,28252449,1705129,92830,81552
JCV23-0402,32456879,30377489,1897022,84033,98335
JCV23-0501,35067922,32650201,2236630,80287,100804
JCV23-0502,36945684,34429194,2318389,91581,106520
JCV23-0601,28889052,25648588,2970012,101352,169100
JCV23-0602,33737733,31452369,2027863,137290,120211
