sample,total_transcripts,total_genes,GC_percent,total_bases_all,N10_all,N50_all,median_len_all,avg_len_all,total_bases_iso,N10_iso,N50_iso,median_len_iso,avg_len_iso
JCV23-0601,,,42.97,60666559,3274,1369,309,700.38,38127618,3051,1070,270,567.87
JCV23-0502,,,42.96,81449622,4167,1743,355,861.31,43030585,3900,1427,272,644.09
JCV23-0501,,,42.40,83328134,3718,1395,273,650.37,50608201,3324,914,258,508.33
JCV23-0602,,,42.37,92184425,4107,1742,307,813.81,50599436,3806,1403,266,604.01
JCV23-0202,,,42.77,92367358,4111,1877,433,967.47,46095881,3997,1645,282,713.44
JCV23-0401,,,42.06,100229285,4188,1573,275,691.76,56428139,3684,893,259,508.65
JCV23-0402,,,41.95,101965249,4195,1593,274,691.05,58590350,3760,936,259,511.31
JCV23-0102,,,41.63,125929648,4366,1587,275,680.75,70102073,3834,722,259,491.16
JCV23-0201,,,40.79,143838318,4071,1212,272,576.30,90314658,3489,417,263,437.02
JCV23-0302,,,41.02,149094488,4370,1467,277,638.58,87342725,3785,500,264,466.55
JCV23-0301,,,40.70,147635980,3786,800,261,500.85,92149508,3064,335,253,387.71
JCV23-0101,,,40.80,153009149,4185,1265,271,586.99,91368473,3561,418,260,435.42
