Sample	Database	Complete	Single	Duplicated	Fragmented	Missing
JCV23-0502	viridiplantae_odb10	89.9	40.0	49.9	8.0	2.1
JCV23-0201	viridiplantae_odb10	96.7	44.7	52.0	2.6	0.7
JCV23-0301	viridiplantae_odb10	94.1	40.5	53.6	4.7	1.2
JCV23-0602	viridiplantae_odb10	95.5	42.8	52.7	3.8	0.7
JCV23-0601	viridiplantae_odb10	77.2	46.1	31.1	16.7	6.1
JCV23-0501	viridiplantae_odb10	86.8	45.9	40.9	9.6	3.6
JCV23-0401	viridiplantae_odb10	92.5	45.4	47.1	6.4	1.1
JCV23-0102	viridiplantae_odb10	96.9	40.7	56.2	2.4	0.7
JCV23-0202	viridiplantae_odb10	95.8	37.4	58.4	3.5	0.7
JCV23-0402	viridiplantae_odb10	95.3	44.5	50.8	3.8	0.9
JCV23-0101	viridiplantae_odb10	97.2	43.3	53.9	2.1	0.7
JCV23-0402	embryophyta_odb10	87.5	51.3	36.2	4.9	7.6
JCV23-0601	embryophyta_odb10	63.8	42.9	20.9	13.4	22.8
JCV23-0102	embryophyta_odb10	89.6	50.6	39.0	3.9	6.5
JCV23-0502	embryophyta_odb10	80.7	48.6	32.1	7.3	12.0
JCV23-0202	embryophyta_odb10	87.1	47.3	39.8	5.0	7.9
JCV23-0401	embryophyta_odb10	83.2	50.2	33.0	6.1	10.7
JCV23-0201	embryophyta_odb10	90.6	55.9	34.7	3.3	6.1
JCV23-0101	embryophyta_odb10	90.2	50.6	39.6	3.0	6.8
JCV23-0602	embryophyta_odb10	87.4	51.9	35.5	4.6	8.0
JCV23-0501	embryophyta_odb10	74.0	49.4	24.6	11.0	15.0
JCV23-0301	embryophyta_odb10	84.2	49.6	34.6	6.4	9.4
JCV23-0302	viridiplantae_odb10	98.6	41.4	57.2	0.5	0.9
JCV23-0302	embryophyta_odb10	93.3	51.1	42.2	2.0	4.7
